,max_id,post_id,comment_page,comment_id,comment_time,comment_likes,commenr_userIP,comment_user_name,comment_user_id,comment_user_gender,comment_user_follow,comment_user_follower,comment_text
0,0,4967028257195289,1,4967030886239783,2023-11-11 23:18:29,2,来自安徽,肥瘦想念,7750511929,男,234,0,不能放任危险的存在。
1,0,4966536410564379,1,4966537057798067,2023-11-10 14:36:11,0,来自福建,青泉羽,6597716151,女,594,25,不仅是因为摔狗，而是平时的学生工作管理根本就没做好，学生本身就对学校有怨气，这下一个口子可不尽情发泄了
3,138871661596758,4965450094216729,1,4965450679063181,2023-11-07 14:39:18,61,来自湖北,红发剑圣丢圣剑发红,1926125263,女,940,62,“声音最大的几头狗至今没有领养一只狗”
4,138871661596758,4965450094216729,1,4965457619845678,2023-11-07 15:06:52,33,来自广东,石磊i说,1653229307,男,1250,675,三只小狗会变成三十只，三千只，你能一直喂下去吗？老板？别为了炒作把自己搞得倾家荡产
5,138871661596758,4965450094216729,1,4965484879940663,2023-11-07 16:55:12,31,来自广东,笑傲_神雕,7860552032,男,127,4,一群无主狗，当然也无人牵绳，也不会注射疫苗，店主居然把他召到人来人往的街上来，还要装圣母//@灭台狗:一件违法的事情，居然还觉得自己很光荣
6,138871661596758,4965450094216729,1,4965469306227707,2023-11-07 15:53:19,14,来自上海,闲潭梦落花888,2060144585,女,238,112,我们小区有人喂猫，时间一到，好多猫就会聚集在一起，这些“圣母”怎么不带回家养？
7,138871661596758,4965450094216729,1,4965564529247385,2023-11-07 22:11:41,11,来自安徽,满达斯,2380696677,女,39,4,狗狗可爱，鸭鸭何辜？三年光阴，12代几百只萌萌哒的小黄鸭长大，被屠杀，成了它们盘中餐。这种伪善有什么值得标榜的？
8,138871661596758,4965450094216729,1,4965557977750052,2023-11-07 21:45:40,0,来自北京,明明就是666198907,7746949583,男,66,13,好狗不咬人，恶犬才咬人。已经证明是恶犬的，应该坚决打掉恶犬
9,138871661596758,4965450094216729,1,4965481906440922,2023-11-07 16:43:23,6,来自浙江,读书笔记2023,6856931546,男,205,23,这么多厨余垃圾，省多少处理费，负责也是应该的。
10,138871661596758,4965450094216729,1,4965787170243462,2023-11-08 12:56:23,3,来自重庆,祈祷非吾辈手段,7577717703,男,530,24,@张馨予 @陈乔恩 @厉娜 @李小冉 @阿朵 @杨迪 @刘聪 @薛之谦 @斓曦 机会来了，这些流浪多可爱，速度来直接领养呀，别瞎、又聋又哑、还瘫？
11,138871661596758,4965450094216729,1,4965487232680648,2023-11-07 17:04:32,3,来自天津,眯娜丽莎,7452408861,男,344,20,我陈乔恩差哪了，为什么不给我也来一批流浪狗狗
12,138871661596758,4965450094216729,1,4965465913557425,2023-11-07 15:39:49,7,来自重庆,小肥牌胡豆瓣,2213136801,女,496,260,好哒，如果这三只狗狗咬伤了路人，这就找得到人赔偿了~~~
13,138871661596758,4965450094216729,1,4965546079027573,2023-11-07 20:58:22,3,来自陕西,光明_天使,2281306143,男,299,135,拜狗邪教造狗神
14,138871661596758,4965450094216729,1,4965465449562540,2023-11-07 15:37:59,1,来自北京,伯兮王2号,2680126901,女,677,96,狗都知道吃哪家饭时要摆出可怜可爱的样子
15,138871661596758,4965450094216729,1,4965544288327554,2023-11-07 20:51:16,1,来自广东,白衣公子逍遥游,6759780944,女,180,540,#中国狂犬病发病率遥遥领先# 啧啧啧//@李爷无为:老板好人，发大财。只是这几个流浪狗如果咬人了，老板可能要负责哦。建议还是送给爱狗人士领养比较好，杨迪李小冉薛之谦等都会喜欢领养的吧。
16,138871661596758,4965450094216729,1,4966341977047303,2023-11-10 01:41:00,0,来自上海,junzhang5168,1227844941,男,140,5,某日咬人，法官怒曰：“不是你的狗，为什么喂之？” ，淦！
17,138871661596758,4965450094216729,1,4965917803157537,2023-11-08 21:35:29,0,来自北京,老人Life,5130510621,女,548,123,//@满达斯:狗狗可爱，鸭鸭何辜？三年光阴，12代几百只萌萌哒的小黄鸭长大，被屠杀，成了它们盘中餐。这种伪善有什么值得标榜的？
18,138871661596758,4965450094216729,1,4965739673161824,2023-11-08 09:47:40,0,来自山西,守望千年的桫椤,2248896127,男,761,210,人家在网上喊两声，你咋还当真了呢？
19,138871661596758,4965450094216729,1,4965721698995141,2023-11-08 08:36:14,0,来自天津,桐油-大八件,2730258865,男,92,53,有爱心人士自费喂小区里的流浪猫，然后怕野猫泛滥，又自掏腰包给它们做绝育，也不知道是真爱还是为了满足自己所谓的善心。
20,138871661596758,4965450094216729,1,4965526298429723,2023-11-07 19:39:47,0,来自广西,丹伊101,1847660101,女,187,279,我的关注点有点偏，原来河南的电动车牌是黄色的，而且数字好多，整个牌好大
21,138871661596758,4965450094216729,1,4965521792434965,2023-11-07 19:21:52,0,来自北京,老禧N,1935688202,男,380,703,@杨迪 @李小冉 @薛之谦 有人找
22,138871661596758,4965450094216729,1,4965466760024663,2023-11-07 15:43:12,0,来自山东,平平淡淡从从容容才是真呀,7020514295,女,49,0,老板糊涂呀
23,0,4965450094216729,2,4965478477858455,2023-11-07 16:29:46,0,来自广东,oklanderlig,5082170780,男,65,186,鸭的命也是命
24,0,4965450094216729,2,4965480537262935,2023-11-07 16:37:57,11,来自美国,灭台狗,6648431771,男,67,0,一件违法的事情，居然还觉得自己很光荣
25,0,4965450094216729,2,4965456874574307,2023-11-07 15:03:55,5,来自广东,改名麻烦没要求,7744303073,男,264,22,需要捕杀
27,0,4965450094216729,2,4966014964203656,2023-11-09 04:01:34,1,来自山东,山东老歌0328,6221687276,男,72,5,网页链接呼吁禁狗令！
28,0,4965450094216729,2,4965451033480064,2023-11-07 14:40:43,22,来自广西,俄罗斯钓鱼4,2064126092,男,366,551,有过案例，投喂的人被判负责。
